tag,count,company,possible parent
heavybuyer,694,,
state house district,691,,
20,690,,
arts and entertainment,690,,
sic code primary,690,,
online,688,,
business services,686,,
mid,684,,
lexus,683,,
mri,683,,
predictive audience,680,,
children,679,,
unlikely,678,,
de gfk,677,,
compass,676,,
null,676,,
us wiland ultimate,676,,
hgm,675,,
oracle,673,,
dodge,672,,
sporting goods,672,,
precisetarget,670,,
stirista fusion,670,,
airlines,668,,
existing auto owners,668,,
acxiom us retail,668,,
authentic brand safety,668,,
amnet,667,,
buyers,666,,
new,665,,
viewership,663,,
beauty & cosmetics,663,,
general demography,662,,
volvo,661,,
taiwan,658,,
jp,657,,
shelf stable food,654,,
destination locations,654,,
nielsen gracenote smart tv acr,654,,
eye,651,,
pennsylvania,650,,
hyundai,649,,
jaguar,649,,
purchase intent in automobile,648,,
bridge auto,645,,
computers,643,,
kia,642,,
expanded,640,,
navigation,639,,
au rda research,639,,
soccer,638,,
shopper,638,,
health and beauty,638,,
autobuyers ~ make,638,,
credit cards,635,,
total,634,,
us politics,633,,
businesswatch network b2b audiences,633,,
automobiles,632,,
propensity,631,,
b2b bulls,631,,
retail & product brands,631,,
department stores,630,,
website visitors,628,,
tv genre,627,,
nielsen online,626,,
employee attributes,625,,
nol,625,,
cars,623,,
heavy visitors,623,,
innovators,622,,
connexity,621,,
bank,620,,
proximity,619,,
heavy viewers,618,,
na kantar shopcom,618,,
groceries & essentials,618,,
ﾃ凝 ﾃ ﾃづｫ竕･ﾃ暗ｱﾂ｢ﾃづｸﾃ,618,,
highly likely,615,,
dmp,613,,
sg,613,,
aidata,612,,
amerilink consumer buying behavior,609,,
retailers customers,608,,
hobbies & interests,603,,
georgia,603,,
health/beauty,602,,
housing attributes,602,,
us sharethis,602,,
democrats,600,,
acxiom uk,600,,
ethnic insight,599,,
political pinpoints,598,,
planalytics,598,,
republicans,597,,
facetz.dca,596,,
owner,595,,
shows,595,,
norway,595,,
prepackage,595,,
length of residence,594,,
4,593,,
events,593,,
imr,593,,
us & canada,593,,
catalina,592,,
us affinity solutions,591,,
illinois,590,,
datalab,590,,
activation segment,588,,
at&t,583,,
delidatax,583,,
visualdna finance,583,,
visualdna mobile & app,583,,
movers,580,,
jeep,578,,
gfk,575,,
car make,574,,
mazda,573,,
owns,573,,
custom audience,573,,
microsoft,573,,
45,572,,
fyllo,572,,
fmcg category,571,,
sales,570,,
osdatasolutions,569,,
genre,568,,
