,Data Provider Name,Data Provider ID,Segment ID,Segment Name
157,AdAdvisor by Neustar,106,6406,neustar adadvisor element 154
158,AdAdvisor by Neustar,106,6407,neustar adadvisor element 155
159,AdAdvisor by Neustar,106,6408,neustar adadvisor element 156
160,AdAdvisor by Neustar,106,6409,neustar adadvisor element 157
161,AdAdvisor by Neustar,106,6410,neustar adadvisor element 158
162,AdAdvisor by Neustar,106,6411,neustar adadvisor element 159
163,AdAdvisor by Neustar,106,6412,neustar adadvisor element 160
164,AdAdvisor by Neustar,106,6413,neustar adadvisor element 161
165,AdAdvisor by Neustar,106,6414,neustar adadvisor element 162
166,AdAdvisor by Neustar,106,6415,neustar adadvisor element 163
167,AdAdvisor by Neustar,106,6416,neustar adadvisor element 164
168,AdAdvisor by Neustar,106,6417,neustar adadvisor element 165
169,AdAdvisor by Neustar,106,6418,neustar adadvisor element 166
170,AdAdvisor by Neustar,106,6419,neustar adadvisor element 167
171,AdAdvisor by Neustar,106,6420,neustar adadvisor element 168
172,AdAdvisor by Neustar,106,6421,neustar adadvisor element 169
173,AdAdvisor by Neustar,106,6422,neustar adadvisor element 170
174,AdAdvisor by Neustar,106,6423,neustar adadvisor element 171
175,AdAdvisor by Neustar,106,6424,neustar adadvisor element 172
176,AdAdvisor by Neustar,106,123854,neustar adadvisor element 054
177,AdAdvisor by Neustar,106,123856,neustar adadvisor element 055
178,Lotame,422,155939,advanced demo - declared dads (lotame)
179,Lotame,422,106023,advanced demo - declared moms (lotame)
180,Lotame,422,155938,advanced demo - declared parents (lotame)
181,Lotame,422,155959,advanced demo - hhi $100k + (lotame)
182,Lotame,422,1434605,advanced demo - hhi 250k+ (lotame)
183,Lotame,422,155955,advanced demo - hhi less than $25k (lotame)
184,Lotame,422,1434622,advanced demo - household without children (lotame)
185,Lotame,422,1434620,advanced demo - moved within last 6 months (lotame)
186,Lotame,422,155940,advanced demo - parents of infants (lotame)
187,Lotame,422,155944,advanced demo - parents of teens (lotame)
188,Lotame,422,155941,advanced demo - parents of toddlers (lotame)
189,Lotame,422,155942,advanced demo - parents of young children (lotame)
190,Lotame,422,106021,advanced demo - pet owners (lotame)
191,Lotame,422,1434553,browser language - arabic (lotame)
192,Lotame,422,1434554,browser language - chinese (lotame)
193,Lotame,422,1434555,browser language - dutch (lotame)
194,Lotame,422,1434556,browser language - english (lotame)
195,Lotame,422,1434557,browser language - french (lotame)
196,Lotame,422,1434558,browser language - german (lotame)
197,Lotame,422,1434559,browser language - italian (lotame)
198,Lotame,422,1434560,browser language - polish (lotame)
199,Lotame,422,1434561,browser language - portuguese (lotame)
200,Lotame,422,1434562,browser language - russian (lotame)
