,provider_name,provider_id,id,name,name_list
101075,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868417,oracle country-specific audiences > france > b2b > firmographic > industry > business & professional services > scientific research & development (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'business & professional services', 'scientific research & development', 'bluekai']"
101076,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868418,oracle country-specific audiences > france > b2b > firmographic > industry > information & communication > information services (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'information & communication', 'information services', 'bluekai']"
101077,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868421,"oracle country-specific audiences > france > b2b > firmographic > industry > information & communication > movie, video, television & music publishing (bluekai)","['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'information & communication', 'movie, video, television & music publishing', 'bluekai']"
101078,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868422,oracle country-specific audiences > france > b2b > firmographic > industry > information & communication > programming & broadcasting (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'information & communication', 'programming & broadcasting', 'bluekai']"
101079,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868423,oracle country-specific audiences > france (fr) > business (b2b) > firmographic > company industry > information and communication > telecommunications (telco) (bluekai),"['oracle country', 'specific audiences', 'france', 'fr', 'business', 'b2b', 'firmographic', 'company industry', 'information and communication', 'telecommunications', 'telco', 'bluekai']"
101080,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868424,oracle country-specific audiences > france > b2b > firmographic > industry > hospitality & food service > food & beverage service (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'hospitality & food service', 'food & beverage service', 'bluekai']"
101081,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868425,oracle country-specific audiences > france > b2b > firmographic > industry > information & communication > book & software publishing (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'information & communication', 'book & software publishing', 'bluekai']"
101082,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868428,oracle country-specific audiences > france (fr) > business (b2b) > firmographic > company industry > information and communication > computer programming and consultancy (bluekai),"['oracle country', 'specific audiences', 'france', 'fr', 'business', 'b2b', 'firmographic', 'company industry', 'information and communication', 'computer programming and consultancy', 'bluekai']"
101083,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868430,oracle country-specific audiences > france > b2b > firmographic > industry > healthcare & social work > nursing & residential care (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'healthcare & social work', 'nursing & residential care', 'bluekai']"
101084,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868431,oracle country-specific audiences > france > b2b > firmographic > industry > healthcare & social work > social work (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'healthcare & social work', 'social work', 'bluekai']"
101085,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868432,oracle country-specific audiences > france > b2b > firmographic > industry > hospitality & food service > accommodation (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'hospitality & food service', 'accommodation', 'bluekai']"
101086,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868435,oracle country-specific audiences > france > b2b > firmographic > industry > government > civil service (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'government', 'civil service', 'bluekai']"
101087,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868436,oracle country-specific audiences > france > b2b > firmographic > industry > government > military (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'government', 'military', 'bluekai']"
101088,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868437,oracle country-specific audiences > france > b2b > firmographic > industry > healthcare & social work > hospitals & medical offices (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'healthcare & social work', 'hospitals & medical offices', 'bluekai']"
101089,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868438,oracle country-specific audiences > france > b2b > firmographic > industry > transportation & storage > postal & courier activities (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'transportation & storage', 'postal & courier activities', 'bluekai']"
101090,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868439,oracle country-specific audiences > france > b2b > firmographic > industry > transportation & storage > warehousing & support (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'transportation & storage', 'warehousing & support', 'bluekai']"
101091,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868440,oracle country-specific audiences > france > b2b > firmographic > industry > transportation & storage > water transport (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'transportation & storage', 'water transport', 'bluekai']"
101092,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868441,oracle country-specific audiences > france > b2b > firmographic > industry > transportation & storage > air transport (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'transportation & storage', 'air transport', 'bluekai']"
101093,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868442,oracle country-specific audiences > france > b2b > firmographic > industry > transportation & storage > land transport (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'transportation & storage', 'land transport', 'bluekai']"
101094,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868443,oracle country-specific audiences > france > b2b > firmographic > industry > manufacturing > pharmaceuticals (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'manufacturing', 'pharmaceuticals', 'bluekai']"
101095,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868444,oracle country-specific audiences > france > b2b > firmographic > industry > manufacturing > transport equipment (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'manufacturing', 'transport equipment', 'bluekai']"
101096,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868445,oracle country-specific audiences > france > b2b > firmographic > industry > manufacturing > automotive (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'manufacturing', 'automotive', 'bluekai']"
101097,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868446,oracle country-specific audiences > france > b2b > firmographic > industry > manufacturing > food & beverages (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'manufacturing', 'food & beverages', 'bluekai']"
101098,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868447,oracle country-specific audiences > france > b2b > firmographic > industry > manufacturing > metals & plastics (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'manufacturing', 'metals & plastics', 'bluekai']"
101099,"Audiences by Oracle (BlueKai, Datalogix, AddThis)",1262,7868448,oracle country-specific audiences > france > b2b > firmographic > industry > wholesale & retail trade > automotive trade & repair (bluekai),"['oracle country', 'specific audiences', 'france', 'b2b', 'firmographic', 'industry', 'wholesale & retail trade', 'automotive trade & repair', 'bluekai']"
